date,Steps Per day,ID
2021-03-18 ,7362,1292
2021-03-19 ,13604,1293
2021-03-20 ,6222,1294
2021-03-21 ,7203,1295
2021-03-22 ,11340,1296
2021-03-23 ,5827,1297
2021-03-24 ,7579,1298
2021-03-25 ,6076,1299
2021-03-26 ,11267,1300
2021-03-27 ,4876,1301
2021-03-28 ,2253,1302
2021-03-29 ,10407,1303
2021-03-30 ,7226,1304
2021-03-31 ,4642,1305
2021-04-01 ,5332,1306
2021-04-02 ,9181,1307
2021-04-03 ,13549,1308
2021-04-04 ,22691,1309
2021-04-05 ,4966,1310
2021-04-06 ,5424,1311
2021-04-07 ,8351,1312
2021-04-08 ,7204,1313
2021-04-09 ,7848,1314
2021-04-10 ,17303,1315
2021-04-11 ,13933,1316
2021-04-12 ,7860,1317
2021-04-13 ,14967,1318
2021-04-14 ,7086,1319
2021-04-15 ,1619,1320
2021-04-16 ,3984,1321
2021-04-17 ,12705,1322
2021-04-18 ,10557,1323
2021-04-19 ,8337,1324
2021-04-20 ,4294,1325
2021-04-21 ,9060,1326
2021-04-22 ,6533,1327
2021-04-23 ,19176,1328
2021-04-24 ,6388,1329
2021-04-25 ,4335,1330
2021-04-26 ,5741,1331
2021-04-27 ,14150,1332
2021-04-28 ,7392,1333
2021-04-29 ,5212,1334
2021-04-30 ,11976,1335
2021-05-01 ,34282,1336
2021-05-02 ,18018,1337
2021-05-03 ,5894,1338
2021-05-04 ,7930,1339
2021-05-05 ,4416,1340
2021-05-06 ,3755,1341
2021-05-07 ,5487,1342
2021-05-08 ,2218,1343
2021-05-09 ,10251,1344
2021-05-10 ,3124,1345
2021-05-11 ,1834,1346
2021-05-12 ,2909,1347
2021-05-13 ,8172,1348
2021-05-14 ,7039,1349
2021-05-15 ,12897,1350
2021-05-16 ,14743,1351
2021-05-17 ,12581,1352
2021-05-18 ,8892,1353
2021-05-19 ,8698,1354
2021-05-20 ,10904,1355
2021-05-21 ,14494,1356
2021-05-22 ,28433,1357
2021-05-23 ,18752,1358
2021-05-24 ,12970,1359
2021-05-25 ,12016,1360
2021-05-26 ,17627,1361
2021-05-27 ,9619,1362
2021-05-28 ,4769,1363
2021-05-29 ,42629,1364
2021-05-30 ,8494,1365
2021-05-31 ,8143,1366
2021-06-01 ,18136,1367
2021-06-02 ,6679,1368
2021-06-03 ,13559,1369
2021-06-04 ,11804,1370
2021-06-05 ,8154,1371
2021-06-06 ,4476,1372
2021-06-07 ,15728,1373
2021-06-08 ,9174,1374
2021-06-09 ,6059,1375
2021-06-10 ,7354,1376
2021-06-11 ,6666,1377
2021-06-12 ,12219,1378
2021-06-13 ,11413,1379
2021-06-14 ,14410,1380
2021-06-15 ,12868,1381
2021-06-16 ,6605,1382
2021-06-17 ,3758,1383
2021-06-18 ,12554,1384
2021-06-19 ,9996,1385
2021-06-20 ,13580,1386
2021-06-21 ,2824,1387
2021-06-22 ,7006,1388
2021-06-23 ,3965,1389
2021-06-24 ,4881,1390
2021-06-25 ,3423,1391
2021-06-26 ,3412,1392
2021-06-27 ,6997,1393
2021-06-28 ,7729,1394
2021-06-29 ,2783,1395
2021-06-30 ,8753,1396
2021-07-01 ,4002,1397
2021-07-02 ,9941,1398
2021-07-03 ,10861,1399
2021-07-04 ,14210,1400
2021-07-05 ,12081,1401
2021-07-06 ,4448,1402
2021-07-07 ,4686,1403
2021-07-08 ,2213,1404
2021-07-09 ,4132,1405
2021-07-10 ,3553,1406
2021-07-11 ,12496,1407
2021-07-12 ,6191,1408
2021-07-13 ,5690,1409
2021-07-14 ,8709,1410
2021-07-15 ,6105,1411
2021-07-16 ,9072,1412
2021-07-17 ,5183,1413
2021-07-18 ,11810,1414
2021-07-19 ,6141,1415
2021-07-20 ,5696,1416
2021-07-21 ,4889,1417
2021-07-22 ,4839,1418
2021-07-23 ,3970,1419
2021-07-24 ,12572,1420
2021-07-25 ,8962,1421
2021-07-26 ,7314,1422
2021-07-27 ,6829,1423
2021-07-28 ,4781,1424
2021-07-29 ,5109,1425
2021-07-30 ,2369,1426
2021-07-31 ,4905,1427
2021-08-01 ,13625,1428
2021-08-02 ,6822,1429
2021-08-03 ,7642,1430
2021-08-04 ,9978,1431
2021-08-05 ,3816,1432
2021-08-06 ,12630,1433
2021-08-07 ,12389,1434
2021-08-08 ,15566,1435
2021-08-09 ,4301,1436
2021-08-10 ,4067,1437
2021-08-11 ,9367,1438
2021-08-12 ,11187,1439
2021-08-13 ,14456,1440
2021-08-14 ,15833,1441
2021-08-15 ,14164,1442
2021-08-16 ,7385,1443
2021-08-17 ,4923,1444
2021-08-18 ,6820,1445
2021-08-19 ,4138,1446
2021-08-20 ,7122,1447
2021-08-21 ,10724,1448
2021-08-22 ,6064,1449
2021-08-23 ,8676,1450
2021-08-24 ,5160,1451
2021-08-25 ,10781,1452
2021-08-26 ,4000,1453
2021-08-27 ,5110,1454
2021-08-28 ,5787,1455
2021-08-29 ,3366,1456
2021-08-30 ,8445,1457
2021-08-31 ,4060,1458
2021-09-01 ,4411,1459
2021-09-02 ,8574,1460
2021-09-03 ,11002,1461
2021-09-04 ,14092,1462
2021-09-05 ,14001,1463
2021-09-06 ,7058,1464
2021-09-07 ,6749,1465
2021-09-08 ,7015,1466
2021-09-09 ,5336,1467
2021-09-10 ,5224,1468
2021-09-11 ,13270,1469
2021-09-12 ,9738,1470
2021-09-13 ,11297,1471
2021-09-14 ,6736,1472
2021-09-15 ,4881,1473
2021-09-16 ,3497,1474
2021-09-17 ,4133,1475
2021-09-18 ,11850,1476
2021-09-19 ,8880,1477
2021-09-20 ,7785,1478
2021-09-21 ,5480,1479
2021-09-22 ,10617,1480
2021-09-23 ,2946,1481
2021-09-24 ,8909,1482
2021-09-25 ,17422,1483
2021-09-26 ,10642,1484
2021-09-27 ,9361,1485
2021-09-28 ,10141,1486
2021-09-29 ,6568,1487
2021-09-30 ,5739,1488
2021-10-01 ,4189,1489
2021-10-02 ,7307,1490
2021-10-03 ,2876,1491
2021-10-04 ,4841,1492
2021-10-05 ,6430,1493
2021-10-06 ,8636,1494
2021-10-07 ,5446,1495
2021-10-08 ,7972,1496
2021-10-09 ,7467,1497
2021-10-10 ,13918,1498
2021-10-11 ,8653,1499
2021-10-12 ,3608,1500
2021-10-13 ,11881,1501
2021-10-14 ,6780,1502
2021-10-15 ,14536,1503
2021-10-16 ,12971,1504
2021-10-17 ,9713,1505
2021-10-18 ,12528,1506
2021-10-19 ,6827,1507
2021-10-20 ,3596,1508
2021-10-21 ,2915,1509
2021-10-22 ,11402,1510
2021-10-23 ,17065,1511
2021-10-24 ,5361,1512
2021-10-25 ,14646,1513
2021-10-26 ,18152,1514
2021-10-27 ,19644,1515
2021-10-28 ,10262,1516
2021-10-29 ,9989,1517
2021-10-30 ,20972,1518
2021-10-31 ,25590,1519
2021-11-01 ,7145,1520
2021-11-02 ,9853,1521
2021-11-03 ,11067,1522
2021-11-04 ,2924,1523
2021-11-05 ,2302,1524
2021-11-06 ,12301,1525
2021-11-07 ,15501,1526
2021-11-08 ,2921,1527
2021-11-09 ,2856,1528
2021-11-10 ,5621,1529
2021-11-11 ,3155,1530
2021-11-12 ,15571,1531
2021-11-13 ,20754,1532
2021-11-14 ,10965,1533
2021-11-15 ,8709,1534
2021-11-16 ,11052,1535
2021-11-17 ,13896,1536
2021-11-18 ,22166,1537
2021-11-19 ,15916,1538
2021-11-20 ,30457,1539
2021-11-21 ,7006,1540
2021-11-22 ,10133,1541
2021-11-23 ,3233,1542
2021-11-24 ,11201,1543
2021-11-25 ,13383,1544
2021-11-26 ,5842,1545
2021-11-27 ,4955,1546
2021-11-28 ,7897,1547
2021-11-29 ,4800,1548
2021-11-30 ,10251,1549
2021-12-01 ,4380,1550
2021-12-02 ,6112,1551
2021-12-03 ,13452,1552
2021-12-04 ,13592,1553
2021-12-05 ,16714,1554
2021-12-06 ,8290,1555
2021-12-07 ,5995,1556
2021-12-08 ,9436,1557
2021-12-09 ,10733,1558
2021-12-10 ,4550,1559
2021-12-11 ,6704,1560
2021-12-12 ,15687,1561
2021-12-13 ,5903,1562
2021-12-14 ,4948,1563
2021-12-15 ,3772,1564
2021-12-16 ,4567,1565
2021-12-17 ,5932,1566
2021-12-18 ,3952,1567
2021-12-19 ,1696,1568
2021-12-20 ,2847,1569
2021-12-21 ,5915,1570
2021-12-22 ,7209,1571
2021-12-23 ,16103,1572
2021-12-24 ,6158,1573
2021-12-25 ,5759,1574
2021-12-26 ,8974,1575
2021-12-27 ,16479,1576
2021-12-28 ,4438,1577
2021-12-29 ,26338,1578
2021-12-30 ,11333,1579
2021-12-31 ,11249,1580
2022-01-01 ,19780,1581
2022-01-02 ,10196,1582
2022-01-03 ,2378,1583
2022-01-04 ,4337,1584
2022-01-05 ,2642,1585
2022-01-06 ,3285,1586
2022-01-07 ,6513,1587
2022-01-08 ,5537,1588
2022-01-09 ,6440,1589
2022-01-10 ,14480,1590
2022-01-11 ,7888,1591
2022-01-12 ,8389,1592
2022-01-13 ,4109,1593
2022-01-14 ,5704,1594
2022-01-15 ,3149,1595
2022-01-16 ,2796,1596
2022-01-17 ,4375,1597
2022-01-18 ,4055,1598
2022-01-19 ,3504,1599
2022-01-20 ,4110,1600
2022-01-21 ,2359,1601
2022-01-22 ,4976,1602
2022-01-23 ,7491,1603
2022-01-24 ,9528,1604
2022-01-25 ,9721,1605
2022-01-26 ,5573,1606
2022-01-27 ,5386,1607
2022-01-28 ,9381,1608
2022-01-29 ,8585,1609
2022-01-30 ,2902,1610
2022-01-31 ,7320,1611
2022-02-01 ,7092,1612
2022-02-02 ,4887,1613
2022-02-03 ,7393,1614
2022-02-04 ,6216,1615
2022-02-05 ,6776,1616
2022-02-06 ,13563,1617
2022-02-07 ,15369,1618
2022-02-08 ,11496,1619
2022-02-09 ,9283,1620
2022-02-10 ,5657,1621
2022-02-11 ,2121,1622
2022-02-12 ,12220,1623
2022-02-13 ,14330,1624
2022-02-14 ,5727,1625
2022-02-15 ,7934,1626
2022-02-16 ,3611,1627
2022-02-17 ,4380,1628
2022-02-18 ,4437,1629
2022-02-19 ,17430,1630
2022-02-20 ,14160,1631
2022-02-21 ,4886,1632
2022-02-22 ,4276,1633
2022-02-23 ,4345,1634
2022-02-24 ,9459,1635
2022-02-25 ,4811,1636
2022-02-26 ,19476,1637
2022-02-27 ,14106,1638
2022-02-28 ,7625,1639
2022-03-01 ,8268,1640
2022-03-02 ,4838,1641
2022-03-03 ,9141,1642
2022-03-04 ,14678,1643
2022-03-05 ,25405,1644
2022-03-06 ,6649,1645
2022-03-07 ,3315,1646
2022-03-08 ,6048,1647
2022-03-09 ,7337,1648
2022-03-10 ,5919,1649
2022-03-11 ,5569,1650
2022-03-12 ,8127,1651
2022-03-13 ,15235,1652
2022-03-14 ,7566,1653
2022-03-15 ,9259,1654
2022-03-16 ,4999,1655
2022-03-17 ,9103,1656
2022-03-18 ,8546,1657
2022-03-19 ,18918,1658
2022-03-20 ,16724,1659
2022-03-21 ,6342,1660
2022-03-22 ,3134,1661
2022-03-23 ,7137,1662
2022-03-24 ,4159,1663
2022-03-25 ,8079,1664
2022-03-26 ,9618,1665
2022-03-27 ,10438,1666
2022-03-28 ,17690,1667
2022-03-29 ,5215,1668
2022-03-30 ,3693,1669
2022-03-31 ,4975,1670
2022-04-01 ,5081,1671
2022-04-02 ,12678,1672
2022-04-03 ,4184,1673
2022-04-04 ,5577,1674
2022-04-05 ,3870,1675
2022-04-06 ,4696,1676
2022-04-07 ,7601,1677
2022-04-08 ,6114,1678
2022-04-09 ,10332,1679
2022-04-10 ,24422,1680
2022-04-11 ,11879,1681
2022-04-12 ,4003,1682
2022-04-13 ,6160,1683
2022-04-14 ,6576,1684
2022-04-15 ,6179,1685
2022-04-16 ,4126,1686
2022-04-17 ,9551,1687
2022-04-18 ,7560,1688
2022-04-19 ,10407,1689
2022-04-20 ,10590,1690
2022-04-21 ,4983,1691
2022-04-22 ,13417,1692
2022-04-23 ,15435,1693
2022-04-24 ,10121,1694
2022-04-25 ,17526,1695
2022-04-26 ,12100,1696
2022-04-27 ,5222,1697
2022-04-28 ,6305,1698
2022-04-29 ,12112,1699
2022-04-30 ,11778,1700
2022-05-01 ,9581,1701
2022-05-02 ,11229,1702
2022-05-03 ,11236,1703
2022-05-04 ,1137,1704
2022-05-05 ,9271,1705
2022-05-06 ,4846,1706
2022-05-07 ,6380,1707
2022-05-08 ,10142,1708
2022-05-09 ,14293,1709
2022-05-10 ,9076,1710
2022-05-11 ,12091,1711
2022-05-12 ,7864,1712
2022-05-13 ,14246,1713
2022-05-14 ,5644,1714
2022-05-15 ,9983,1715
2022-05-16 ,8075,1716
2022-05-17 ,6106,1717
2022-05-18 ,10513,1718
2022-05-19 ,8904,1719
2022-05-20 ,9541,1720
2022-05-21 ,8415,1721
2022-05-22 ,3049,1722
2022-05-23 ,3553,1723
2022-05-24 ,4140,1724
2022-05-25 ,3476,1725
2022-05-26 ,4511,1726
2022-05-27 ,10938,1727
2022-05-28 ,10344,1728
2022-05-29 ,4113,1729
2022-05-30 ,8333,1730
2022-05-31 ,6124,1731
2022-06-01 ,2295,1732
2022-06-02 ,3778,1733
2022-06-03 ,5108,1734
2022-06-04 ,9924,1735
2022-06-05 ,7516,1736
2022-06-06 ,5639,1737
2022-06-07 ,6284,1738
2022-06-08 ,3729,1739
2022-06-09 ,2792,1740
2022-06-10 ,2189,1741
2022-06-11 ,9115,1742
2022-06-12 ,4951,1743
2022-06-13 ,4637,1744
2022-06-14 ,2714,1745
2022-06-15 ,5343,1746
2022-06-16 ,16923,1747
2022-06-17 ,18736,1748
2022-06-18 ,10995,1749
2022-06-19 ,18101,1750
2022-06-20 ,23418,1751
2022-06-21 ,19857,1752
2022-06-22 ,14352,1753
2022-06-23 ,16158,1754
2022-06-24 ,15946,1755
2022-06-25 ,28709,1756
2022-06-26 ,20127,1757
2022-06-27 ,23461,1758
2022-06-28 ,28625,1759
2022-06-29 ,24751,1760
2022-06-30 ,9969,1761
2022-07-01 ,21565,1762
2022-07-02 ,21339,1763
2022-07-03 ,18630,1764
2022-07-04 ,13796,1765
2022-07-05 ,17911,1766
2022-07-06 ,14347,1767
2022-07-07 ,13336,1768
2022-07-08 ,10576,1769
2022-07-09 ,4807,1770
2022-07-10 ,4478,1771
2022-07-11 ,4792,1772
2022-07-12 ,3977,1773
2022-07-13 ,7348,1774
2022-07-14 ,6829,1775
2022-07-15 ,14767,1776
2022-07-16 ,4373,1777
2022-07-17 ,9541,1778
2022-07-18 ,11837,1779
2022-07-19 ,2719,1780
2022-07-20 ,2646,1781
2022-07-21 ,3305,1782
2022-07-22 ,4670,1783
2022-07-23 ,13876,1784
2022-07-24 ,13758,1785
2022-07-25 ,12397,1786
2022-07-26 ,7217,1787
2022-07-27 ,8280,1788
2022-07-28 ,15735,1789
2022-07-29 ,10189,1790
2022-07-30 ,23474,1791
2022-07-31 ,10399,1792
2022-08-01 ,11784,1793
2022-08-02 ,12816,1794
2022-08-03 ,12614,1795
2022-08-04 ,9317,1796
2022-08-05 ,10677,1797
2022-08-06 ,18128,1798
2022-08-07 ,17633,1799
2022-08-08 ,8115,1800
2022-08-09 ,11186,1801
2022-08-10 ,8807,1802
2022-08-11 ,10463,1803
2022-08-12 ,14370,1804
2022-08-13 ,20674,1805
2022-08-14 ,24288,1806
2022-08-15 ,8366,1807
2022-08-16 ,8549,1808
2022-08-17 ,15742,1809
2022-08-18 ,13371,1810
2022-08-19 ,11433,1811
2022-08-20 ,23366,1812
2022-08-21 ,16908,1813
2022-08-22 ,8653,1814
2022-08-23 ,5598,1815
2022-08-24 ,12660,1816
2022-08-25 ,9609,1817
2022-08-26 ,5722,1818
2022-08-27 ,19758,1819
2022-08-28 ,20476,1820
2022-08-29 ,11397,1821
2022-08-30 ,8021,1822
2022-08-31 ,10452,1823
2022-09-01 ,3003,1824
2022-09-02 ,8408,1825
2022-09-03 ,5780,1826
2022-09-04 ,9627,1827
2022-09-05 ,14572,1828
2022-09-06 ,9339,1829
2022-09-07 ,7770,1830
2022-09-08 ,8358,1831
2022-09-09 ,17812,1832
2022-09-10 ,14956,1833
2022-09-11 ,8989,1834
2022-09-12 ,6626,1835
2022-09-13 ,7950,1836
2022-09-14 ,5813,1837
2022-09-15 ,8851,1838
2022-09-16 ,8777,1839
2022-09-17 ,9633,1840
2022-09-18 ,8353,1841
2022-09-19 ,13233,1842
2022-09-20 ,9541,1843
2022-09-21 ,9116,1844
2022-09-22 ,9312,1845
2022-09-23 ,11623,1846
2022-09-24 ,21656,1847
2022-09-25 ,14172,1848
2022-09-26 ,8078,1849
2022-09-27 ,11521,1850
2022-09-28 ,8586,1851
2022-09-29 ,11593,1852
2022-09-30 ,11263,1853
2022-10-01 ,16770,1854
2022-10-02 ,13125,1855
2022-10-03 ,8512,1856
2022-10-04 ,5311,1857
2022-10-05 ,9624,1858
2022-10-06 ,14365,1859
2022-10-07 ,6261,1860
2022-10-08 ,17784,1861
2022-10-09 ,14288,1862
2022-10-10 ,5222,1863
2022-10-11 ,7602,1864
2022-10-12 ,7008,1865
2022-10-13 ,12250,1866
2022-10-14 ,8827,1867
2022-10-15 ,12944,1868
2022-10-16 ,16784,1869
2022-10-17 ,8658,1870
2022-10-18 ,7176,1871
2022-10-19 ,4772,1872
2022-10-20 ,9074,1873
2022-10-21 ,6544,1874
2022-10-22 ,9210,1875
2022-10-23 ,12138,1876
2022-10-24 ,10477,1877
2022-10-25 ,7148,1878
2022-10-26 ,7818,1879
2022-10-27 ,7985,1880
2022-10-28 ,7183,1881
2022-10-29 ,20514,1882
2022-10-30 ,17395,1883
2022-10-31 ,18964,1884
2022-11-01 ,13557,1885
2022-11-02 ,4727,1886
2022-11-03 ,8829,1887
2022-11-04 ,6544,1888
2022-11-05 ,19304,1889
2022-11-06 ,13319,1890
2022-11-07 ,13631,1891
2022-11-08 ,10702,1892
2022-11-09 ,9222,1893
2022-11-10 ,8877,1894
2022-11-11 ,18250,1895
2022-11-12 ,9460,1896
2022-11-13 ,13470,1897
2022-11-14 ,4745,1898
2022-11-15 ,4926,1899
2022-11-16 ,619,1900
2022-11-17 ,6585,1901
2022-11-18 ,11886,1902
2022-11-19 ,6302,1903
2022-11-20 ,5747,1904
2022-11-21 ,8143,1905
2022-11-22 ,10848,1906
2022-11-23 ,6017,1907
2022-11-24 ,7519,1908
2022-11-25 ,13112,1909
2022-11-26 ,8633,1910
2022-11-27 ,6816,1911
2022-11-28 ,10785,1912
2022-11-29 ,5438,1913
2022-11-30 ,8097,1914
2022-12-01 ,8599,1915
2022-12-02 ,7999,1916
2022-12-03 ,12654,1917
2022-12-04 ,9705,1918
2022-12-05 ,7155,1919
2022-12-06 ,9748,1920
2022-12-07 ,11330,1921
2022-12-08 ,13287,1922
2022-12-09 ,9983,1923
2022-12-10 ,24518,1924
2022-12-11 ,9506,1925
2022-12-12 ,6926,1926
2022-12-13 ,6093,1927
2022-12-14 ,9793,1928
2022-12-15 ,7997,1929
2022-12-16 ,8087,1930
2022-12-17 ,8930,1931
2022-12-18 ,6121,1932
2022-12-19 ,4634,1933
2022-12-20 ,4885,1934
2022-12-21 ,13947,1935
2022-12-22 ,6432,1936
2022-12-23 ,6761,1937
2022-12-24 ,6814,1938
2022-12-25 ,4150,1939
2022-12-26 ,9052,1940
2022-12-27 ,8071,1941
2022-12-28 ,8669,1942
2022-12-29 ,5379,1943
2022-12-30 ,17256,1944
2022-12-31 ,10644,1945
2023-01-01 ,10905,1946
2023-01-02 ,13509,1947
2023-01-03 ,8244,1948
2023-01-04 ,9986,1949
2023-01-05 ,8214,1950
2023-01-06 ,8903,1951
2023-01-07 ,7747,1952
2023-01-08 ,12890,1953
2023-01-09 ,5031,1954
2023-01-10 ,13404,1955
2023-01-11 ,7436,1956
2023-01-12 ,11661,1957
2023-01-13 ,10105,1958
2023-01-14 ,10461,1959
2023-01-15 ,2850,1960
2023-01-16 ,6839,1961
2023-01-17 ,8139,1962
2023-01-18 ,9418,1963
2023-01-19 ,10568,1964
2023-01-20 ,9399,1965
2023-01-21 ,14344,1966
2023-01-22 ,11353,1967
2023-01-23 ,5796,1968
2023-01-24 ,9749,1969
2023-01-25 ,8006,1970
2023-01-26 ,7514,1971
2023-01-27 ,9598,1972
2023-01-28 ,17143,1973
2023-01-29 ,7175,1974
2023-01-30 ,8394,1975
2023-01-31 ,9619,1976
2023-02-01 ,5430,1977
2023-02-02 ,8129,1978
2023-02-03 ,11104,1979
2023-02-04 ,11212,1980
2023-02-05 ,10471,1981
2023-02-06 ,17526,1982
2023-02-07 ,21622,1983
2023-02-08 ,19222,1984
2023-02-09 ,17019,1985
2023-02-10 ,6569,1986
2023-02-11 ,19857,1987
2023-02-12 ,13760,1988
2023-02-13 ,16162,1989
2023-02-14 ,10507,1990
2023-02-15 ,7908,1991
2023-02-16 ,8684,1992
2023-02-17 ,9961,1993
2023-02-18 ,12715,1994
2023-02-19 ,15312,1995
2023-02-20 ,12972,1996
2023-02-21 ,5429,1997
2023-02-22 ,7452,1998
2023-02-23 ,10966,1999
2023-02-24 ,10236,2000
2023-02-25 ,15668,2001
2023-02-26 ,9589,2002
2023-02-27 ,1196,2003
2023-02-28 ,6533,2004
2023-03-01 ,6633,2005
2023-03-02 ,7504,2006
2023-03-03 ,11281,2007
2023-03-04 ,13864,2008
2023-03-05 ,19287,2009
2023-03-06 ,7165,2010
2023-03-07 ,8622,2011
2023-03-08 ,16754,2012
2023-03-09 ,9381,2013
2023-03-10 ,7588,2014
2023-03-11 ,13470,2015
2023-03-12 ,9157,2016
2023-03-13 ,8546,2017
2023-03-14 ,8138,2018
2023-03-15 ,8693,2019
2023-03-16 ,8830,2020
2023-03-17 ,7190,2021
2023-03-18 ,9496,2022
2023-03-19 ,13549,2023
2023-03-20 ,6042,2024
2023-03-21 ,6279,2025
2023-03-22 ,6117,2026
2023-03-23 ,9830,2027
2023-03-24 ,17154,2028
2023-03-25 ,13376,2029
2023-03-26 ,24133,2030
2023-03-27 ,10697,2031
2023-03-28 ,8252,2032
2023-03-29 ,6851,2033
2023-03-30 ,8995,2034
2023-03-31 ,11116,2035
2023-04-01 ,18646,2036
2023-04-02 ,13655,2037
2023-04-03 ,9464,2038
2023-04-04 ,7338,2039
2023-04-05 ,14140,2040
2023-04-06 ,6783,2041
2023-04-07 ,2241,2042
2023-04-08 ,4233,2043
2023-04-09 ,13134,2044
2023-04-10 ,3545,2045
2023-04-11 ,10423,2046
2023-04-12 ,9224,2047
2023-04-13 ,8095,2048
2023-04-14 ,9851,2049
2023-04-15 ,16775,2050
2023-04-16 ,7638,2051
2023-04-17 ,8846,2052
2023-04-18 ,13830,2053
2023-04-19 ,8778,2054
2023-04-20 ,9204,2055
2023-04-21 ,5306,2056
2023-04-22 ,13882,2057
2023-04-23 ,25053,2058
2023-04-24 ,7810,2059
2023-04-25 ,13171,2060
2023-04-26 ,9742,2061
2023-04-27 ,7458,2062
2023-04-28 ,6570,2063
2023-04-29 ,11609,2064
2023-04-30 ,4382,2065
2023-05-01 ,14078,2066
2023-05-02 ,8750,2067
2023-05-03 ,9356,2068
2023-05-04 ,9335,2069
2023-05-05 ,9803,2070
2023-05-06 ,25808,2071
2023-05-07 ,14685,2072
2023-05-08 ,7951,2073
2023-05-09 ,13480,2074
2023-05-10 ,10480,2075
2023-05-11 ,13341,2076
